,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
62,2021-01-10,United Kingdom,2021-01-11 05:21:50,52.3555,-1.1743,2664129,71039,0.0,2593090.0,"England, United Kingdom",4759.310933737307,2.66650000807018
63,2021-01-11,United Kingdom,2021-01-12 05:22:15,52.3555,-1.1743,2705964,71534,0.0,2634430.0,"England, United Kingdom",4834.046719021316,2.643568059294211
64,2021-01-12,United Kingdom,2021-01-13 05:22:15,52.3555,-1.1743,2747085,72685,0.0,2674400.0,"England, United Kingdom",4907.506984986745,2.645895558382795
65,2021-01-13,United Kingdom,2021-01-14 05:22:32,52.3555,-1.1743,2789983,74085,0.0,2715898.0,"England, United Kingdom",4984.141757715642,2.655392523897099
66,2021-01-14,United Kingdom,2021-01-15 05:22:24,52.3555,-1.1743,2834341,75199,0.0,2759142.0,"England, United Kingdom",5063.384735213623,2.6531387719402852
67,2021-01-15,United Kingdom,2021-01-16 05:22:40,52.3555,-1.1743,2885082,76338,0.0,2808744.0,"England, United Kingdom",5154.030569589047,2.645955990159032
68,2021-01-16,United Kingdom,2021-01-17 05:22:17,52.3555,-1.1743,2922841,77478,0.0,2845363.0,"England, United Kingdom",5221.484818819091,2.650777103509907
69,2021-01-17,United Kingdom,2021-01-18 05:22:34,52.3555,-1.1743,2958104,78076,0.0,2880028.0,"England, United Kingdom",5284.4801097589725,2.639393341140136
70,2021-01-18,United Kingdom,2021-01-19 05:22:15,52.3555,-1.1743,2992238,78636,0.0,2913602.0,"England, United Kingdom",5345.458508106872,2.627999510734106
71,2021-01-19,United Kingdom,2021-01-20 05:21:54,52.3555,-1.1743,3022609,80143,0.0,2942466.0,"England, United Kingdom",5399.714526628699,2.6514511139217807
72,2021-01-20,United Kingdom,2021-01-21 05:22:01,52.3555,-1.1743,3057670,81805,0.0,2975865.0,"England, United Kingdom",5462.348956360804,2.6754031664633526
73,2021-01-21,United Kingdom,2021-01-22 05:22:10,52.3555,-1.1743,3092041,82939,0.0,3009102.0,"England, United Kingdom",5523.750741373274,2.6823383001713106
74,2021-01-22,United Kingdom,2021-01-23 05:22:03,52.3555,-1.1743,3129156,84190,0.0,3044966.0,"England, United Kingdom",5590.054522198324,2.690501847782597
75,2021-01-23,United Kingdom,2021-01-24 05:22:35,52.3555,-1.1743,3159652,85423,0.0,3074229.0,"England, United Kingdom",5644.533845922983,2.7035572271883113
76,2021-01-24,United Kingdom,2021-01-25 05:22:16,52.3555,-1.1743,3187232,85974,0.0,3101258.0,"England, United Kingdom",5693.803905875964,2.6974503268039483
77,2021-01-25,United Kingdom,2021-01-26 05:22:02,52.3555,-1.1743,3207381,86522,0.0,3120859.0,"England, United Kingdom",5729.798918130953,2.697590339283048
78,2021-01-26,United Kingdom,2021-01-27 05:23:41,52.3555,-1.1743,3225301,88042,0.0,3137259.0,"England, United Kingdom",5761.811952009032,2.729729721350038
79,2021-01-27,United Kingdom,2021-01-28 05:22:24,52.3555,-1.1743,3248215,89610,0.0,3158605.0,"England, United Kingdom",5802.746475350677,2.7587459573950617
80,2021-01-28,United Kingdom,2021-01-29 05:22:23,52.3555,-1.1743,3274397,90698,0.0,3183699.0,"England, United Kingdom",5849.519089915179,2.7699145827460754
81,2021-01-29,United Kingdom,2021-01-30 05:22:49,52.3555,-1.1743,3301106,91822,0.0,3301106.0,"England, United Kingdom",5897.233159214823,2.7815526069141674
82,2021-01-30,United Kingdom,2021-01-31 05:22:42,52.3555,-1.1743,3322195,92920,0.0,3322195.0,"England, United Kingdom",5934.907426595114,2.7969459950424342
83,2021-01-31,United Kingdom,2021-02-01 05:22:53,52.3555,-1.1743,3341249,93448,0.0,3341249.0,"England, United Kingdom",5968.9462852732895,2.79679844273803
84,2021-02-01,United Kingdom,2021-02-02 05:22:49,52.3555,-1.1743,3358064,93816,0.0,3358064.0,"England, United Kingdom",5998.985301158329,2.7937525907784964
85,2021-02-02,United Kingdom,2021-02-03 05:22:52,52.3555,-1.1743,3373085,95172,0.0,3373085.0,"England, United Kingdom",6025.819440772314,2.8215120579528827
86,2021-02-03,United Kingdom,2021-02-04 05:22:26,52.3555,-1.1743,3390350,96345,0.0,3390350.0,"England, United Kingdom",6056.662355387552,2.8417420030380343
87,2021-02-04,United Kingdom,2021-02-05 05:22:38,52.3555,-1.1743,3408879,97162,0.0,3408879.0,"England, United Kingdom",6089.763332213829,2.8502625056506847
88,2021-02-05,United Kingdom,2021-02-06 05:23:55,52.3555,-1.1743,3426193,98054,0.0,3426193.0,"England, United Kingdom",6120.6937824685765,2.861893652809401
89,2021-02-06,United Kingdom,2021-02-07 05:23:00,52.3555,-1.1743,3442495,98778,0.0,3343717.0,"England, United Kingdom",6149.81635380119,2.869372359291735
90,2021-02-07,United Kingdom,2021-02-08 05:22:39,52.3555,-1.1743,3456961,99107,0.0,3357854.0,"England, United Kingdom",6175.6590183146,2.866882212440349
91,2021-02-08,United Kingdom,2021-02-09 05:23:30,52.3555,-1.1743,3469231,99411,0.0,3369820.0,"England, United Kingdom",6197.578657024646,2.8655053526271383
92,2021-02-09,United Kingdom,2021-02-10 05:22:41,52.3555,-1.1743,3480147,100385,0.0,3379762.0,"England, United Kingdom",6217.079453777607,2.884504591329045
93,2021-02-10,United Kingdom,2021-02-11 05:23:55,52.3555,-1.1743,3491698,101311,0.0,3390387.0,"England, United Kingdom",6237.714640960962,2.90148231605368
94,2021-02-11,United Kingdom,2021-02-12 05:23:29,52.3555,-1.1743,3503699,101905,0.0,3401794.0,"England, United Kingdom",6259.153726874513,2.90849756214789
95,2021-02-12,United Kingdom,2021-02-13 05:22:12,52.3555,-1.1743,3516998,102562,0.0,3414436.0,"England, United Kingdom",6282.911614014277,2.9161802196077455
96,2021-02-13,United Kingdom,2021-02-14 05:23:43,52.3555,-1.1743,3528695,103106,0.0,3425589.0,"England, United Kingdom",6303.8076216745385,2.9219300619634168
97,2021-02-14,United Kingdom,2021-02-15 05:24:49,52.3555,-1.1743,3538194,103334,0.0,3434860.0,"England, United Kingdom",6320.777030648193,2.920529513079272
98,2021-02-15,United Kingdom,2021-02-16 05:24:38,52.3555,-1.1743,3546803,103544,0.0,3443259.0,"England, United Kingdom",6336.1565065776795,2.9193614643948367
99,2021-02-16,United Kingdom,2021-02-17 05:23:10,52.3555,-1.1743,3556039,104277,0.0,3451762.0,"England, United Kingdom",6352.6560814045715,2.932391911337305
100,2021-02-17,United Kingdom,2021-02-18 05:22:58,52.3555,-1.1743,3566965,104915,0.0,3462050.0,"England, United Kingdom",6372.174742573762,2.9412960317805195
101,2021-02-18,United Kingdom,2021-02-19 05:24:16,52.3555,-1.1743,3577705,105292,0.0,3472413.0,"England, United Kingdom",6391.361125601136,2.9430039648322035
102,2021-02-19,United Kingdom,2021-02-20 05:22:51,52.3555,-1.1743,3588001,105773,0.0,3482228.0,"England, United Kingdom",6409.7543285480515,2.947964618738958
103,2021-02-20,United Kingdom,2021-02-21 05:24:33,52.3555,-1.1743,3596965,106170,0.0,3490795.0,"England, United Kingdom",6425.767991253581,2.9516550758764684
104,2021-02-21,United Kingdom,2021-02-22 05:24:21,52.3555,-1.1743,3605373,106360,0.0,3499013.0,"England, United Kingdom",6440.788392416913,2.9500415074945088
105,2021-02-22,United Kingdom,2021-02-23 05:23:41,52.3555,-1.1743,3614793,106525,0.0,3508268.0,"England, United Kingdom",6457.616672502376,2.9469183989235344
106,2021-02-23,United Kingdom,2021-02-24 05:29:16,52.3555,-1.1743,3622085,107008,0.0,3515077.0,"England, United Kingdom",6470.6434048148185,2.95432050876774
107,2021-02-24,United Kingdom,2021-02-25 05:24:57,52.3555,-1.1743,3630729,107388,0.0,3523341.0,"England, United Kingdom",6486.085406201096,2.9577531123914778
108,2021-02-25,United Kingdom,2021-02-26 05:22:40,52.3555,-1.1743,3639352,107654,0.0,3531698.0,"England, United Kingdom",6501.4898923133,2.9580540711643173
109,2021-02-26,United Kingdom,2021-02-27 05:22:28,52.3555,-1.1743,3646745,107954,0.0,3538791.0,"England, United Kingdom",6514.697055229629,2.9602837599009533
110,2021-02-27,United Kingdom,2021-02-28 05:22:20,52.3555,-1.1743,3653272,108208,0.0,3545064.0,"England, United Kingdom",6526.357159700735,2.9619475363455017
111,2021-02-28,United Kingdom,2021-03-01 05:23:01,52.3555,-1.1743,3658352,108323,0.0,3550029.0,"England, United Kingdom",6535.432283143851,2.960978057879613
112,2021-03-01,United Kingdom,2021-03-02 05:23:30,52.3555,-1.1743,3663090,108422,0.0,3554668.0,"England, United Kingdom",6543.8964435520165,2.959850836315788
113,2021-03-02,United Kingdom,2021-03-03 05:23:28,52.3555,-1.1743,3668620,108729,0.0,3559891.0,"England, United Kingdom",6553.775465725331,2.963757489192121
114,2021-03-03,United Kingdom,2021-03-04 05:24:24,52.3555,-1.1743,3674028,108993,0.0,3565035.0,"England, United Kingdom",6563.43654202068,2.966580548651235
115,2021-03-04,United Kingdom,2021-03-05 05:26:29,52.3555,-1.1743,3679671,109195,0.0,3570476.0,"England, United Kingdom",6573.517432097354,2.9675207375876815
