Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,0.0,0.0,0.0,0.0,0.0,1.0,2020-11-09
2020-11-10,0.0064942673844235466,0.006666956534342017,0.0,0.006490009666047847,0.0064942673844235466,0.9805360666904539,2020-11-10
2020-11-11,0.013458638540418455,0.013594793976549613,0.0,0.013455281575011913,0.01345863854041851,0.9595018496971002,2020-11-11
2020-11-12,0.02421487787764187,0.020392190964824475,0.0,0.02430912771511423,0.024214877877641927,0.9129096149194136,2020-11-12
2020-11-13,0.0327729984669316,0.02445033842051103,0.0,0.032978196897931134,0.03277299846693166,0.8723777475929482,2020-11-13
2020-11-14,0.04124672357200748,0.030189718393553333,0.0,0.041519338349196244,0.04124672357200759,0.840535057322751,2020-11-14
2020-11-15,0.04891834283538138,0.032262272272707504,0.0,0.0493290047544091,0.04891834283538138,0.8011082640756397,2020-11-15
2020-11-16,0.055691952297719394,0.035030508572836405,0.0,0.05620136825498351,0.055691952297719394,0.7709713821870872,2020-11-16
2020-11-17,0.06181201986990542,0.04253808136585646,0.0,0.06228722634453654,0.06181201986990559,0.7628066448980602,2020-11-17
2020-11-18,0.06780654044078155,0.04866878270069708,0.0,0.06827838932553854,0.0678065404407816,0.7506439502419506,2020-11-18
2020-11-19,0.0748828576729445,0.054698030349145554,0.0,0.07538052246686117,0.0748828576729445,0.732449986484816,2020-11-19
2020-11-20,0.08110615277954086,0.061017145673000206,0.0,0.08160145508861139,0.08110615277954097,0.7204718773320562,2020-11-20
2020-11-21,0.08724923730196704,0.06487238575590237,0.0,0.08780094730842553,0.08724923730196699,0.7007900437824288,2020-11-21
2020-11-22,0.0930620634626142,0.0702349377509166,0.0,0.09362487515432621,0.09306206346261425,0.688471556458023,2020-11-22
2020-11-23,0.09771044118611227,0.07304665420235656,0.0,0.0983185364781638,0.09771044118611227,0.673888653492992,2020-11-23
2020-11-24,0.10114694160529974,0.08080061451947185,0.0,0.10164858823886752,0.10114694160529969,0.6822062673136302,2020-11-24
2020-11-25,0.10668949297146035,0.08955461831673839,0.0,0.10711195999220996,0.10668949297146046,0.683010442021351,2020-11-25
2020-11-26,0.11179402479971767,0.09551139904633532,0.0,0.11219547929125179,0.11179402479971773,0.6768772328358419,2020-11-26
2020-11-27,0.11607448006104376,0.1020479151267446,0.0,0.11642031049275403,0.11607448006104387,0.6768105362699695,2020-11-27
2020-11-28,0.12072076533451997,0.10780178848355726,0.0,0.12103928774984768,0.12072076533452014,0.6724519905826587,2020-11-28
2020-11-29,0.12422701408776854,0.11061350493499711,0.0,0.12456266046800823,0.1242270140877686,0.6643616589478811,2020-11-29
2020-11-30,0.12801748730231577,0.11335275446758553,0.0,0.1283790520126284,0.12801748730231594,0.6548001683493561,2020-11-30
2020-12-01,0.13206916802792168,0.12104874124961951,0.0,0.13234088095038155,0.13206916802792174,0.6596325417736861,2020-12-01
2020-12-02,0.1367154533013979,0.12909256924214096,0.0,0.13690339848237687,0.13671545330139795,0.6626591602750067,2020-12-02
2020-12-03,0.1408975634116979,0.13384639911880225,0.0,0.14107141261874856,0.14089756341169796,0.6577071900073914,2020-12-03
2020-12-04,0.14557488669383134,0.13999159383741322,0.0,0.1457125449578428,0.14557488669383128,0.6547839573499932,2020-12-04
2020-12-05,0.149992048689917,0.14497731785439938,0.0,0.15011568883544668,0.14999204868991706,0.6496085325695851,2020-12-05
2020-12-06,0.1549769621252597,0.14789048799223148,0.0,0.1551516819101969,0.15497696212525963,0.6357768997904603,2020-12-06
2020-12-07,0.15903038655921709,0.1504558169195762,0.0,0.15924179591953413,0.15903038655921703,0.6253072945940117,2020-12-07
2020-12-08,0.1626778756889392,0.15825325738800233,0.0,0.16278696637966306,0.16267787568893916,0.6321644887852553,2020-12-08
2020-12-09,0.16719756773609462,0.16478977346841162,0.0,0.167256932843301,0.16719756773609468,0.6314185865109083,2020-12-09
2020-12-10,0.17334309345021293,0.17086250126817104,0.0,0.17340425341840404,0.17334309345021298,0.6223124002006264,2020-12-10
2020-12-11,0.17958522060700577,0.17597866573909005,0.0,0.17967414162457496,0.1795852206070057,0.6102785346399897,2020-12-11
2020-12-12,0.18567704010389707,0.182355754598026,0.0,0.18575892769403113,0.18567704010389702,0.6026980285639087,2020-12-12
2020-12-13,0.19166284213301565,0.18435584155832863,0.0,0.19184299908342284,0.1916628421330156,0.5835266611654428,2020-12-13
2020-12-14,0.19789904068141329,0.18716755800976848,0.0,0.19816362957417577,0.19789904068141334,0.565995767581315,2020-12-14
2020-12-15,0.20365467320813047,0.19393596823050274,0.0,0.20389429167165452,0.2036546732081304,0.5615399948822457,2020-12-15
2020-12-16,0.21182638802672193,0.20171891531515862,0.0,0.2120755917104259,0.21182638802672188,0.5504574851877497,2020-12-16
2020-12-17,0.21963855018322886,0.20806701740655387,0.0,0.2199238508391237,0.2196385501832288,0.5372574730205759,2020-12-17
2020-12-18,0.2281659815055318,0.2139078510659883,0.0,0.22851752127513214,0.22816598150553175,0.5204038803450945,2020-12-18
2020-12-19,0.23610857304673283,0.2202994333086945,0.0,0.2364983535558013,0.23610857304673277,0.5075924417754081,2020-12-19
2020-12-20,0.24732236145539666,0.22379233879733895,0.0,0.24790250334559605,0.2473223614553966,0.47607441403648254,2020-12-20
2020-12-21,0.2573458945433088,0.2266620287838601,0.0,0.2581024172266483,0.257345894543309,0.44824094288411853,2020-12-21
2020-12-22,0.26860606559412326,0.23547400611620795,0.0,0.26942294944889233,0.2686060655941233,0.4316970921045491,2020-12-22
2020-12-23,0.28054942157706564,0.2445323709726509,0.0,0.28143743601380045,0.2805494215770656,0.41409247249882464,2020-12-23
2020-12-24,0.292951024114789,0.2513152745771555,0.0,0.2939775697661745,0.29295102411478907,0.3903172395447707,2020-12-24
2020-12-25,0.30395731122962133,0.2595765033262315,0.0,0.30505153736615387,0.3039573112296214,0.3751500601819493,2020-12-25
2020-12-26,0.31487536670186633,0.26211284548603553,0.0,0.31617624725071514,0.3148753667018663,0.3477017183742297,2020-12-26
2020-12-27,0.3238097795534154,0.2656782178935315,0.0,0.32524303588944614,0.32380977955341533,0.3292413193808499,2020-12-27
2020-12-28,0.33654268667792875,0.270345087467571,0.0,0.33817481431718577,0.33654268667792847,0.30283526057939913,2020-12-28
2020-12-29,0.35299073881620335,0.27556270562488216,0.0,0.35489975718744804,0.3529907388162034,0.26837026137631015,2020-12-29
2020-12-30,0.3681798335246763,0.28888212530979607,0.0,0.3701349494631859,0.3681798335246759,0.2558748098377288,2020-12-30
2020-12-31,0.385446033621487,0.30076670000144934,0.0,0.3875338356343053,0.38544603362148694,0.23557172670802373,2020-12-31
2021-01-01,0.40314327842279485,0.3096511442526486,0.0,0.4054483634719872,0.4031432784227949,0.2090714104353424,2021-01-01
2021-01-02,0.42031810820198556,0.3147093351884864,0.0,0.42292193370985065,0.4203181082019854,0.17747830811819387,2021-01-02
2021-01-03,0.4366577016807953,0.32039074162644754,0.0,0.43952430894904515,0.43665770168079526,0.1503624757179094,2021-01-03
2021-01-04,0.45520378370762615,0.32575329362146177,0.0,0.45839543605310784,0.4552037837076261,0.11885196212391458,2021-01-04
